title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable land.sftgif.tavg-u-hxy-u.yr.GRL (IyrGre.sftgif),1217,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1217,yr land CMIP6,sftgif_tavg-u-hxy-u,land_ice_area_fraction,"""comment"" was ""Percentage of grid cell covered by land ice (ice sheet, ice shelf, ice cap, glacier)"";",area: areacellg,area: time: mean,This is needed in case the ice sheet area changes in time,xgre ygre time,yr,Land Ice Area Percentage,land,,,GRL,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.orog.tavg-u-hxy-is.yr.GRL (IyrGre.orog),1215,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1215,yr land CMIP6,orog_tavg-u-hxy-is,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacellg,area: time: mean where ice_sheet,This is needed in case the ice sheet elevation changes in time,xgre ygre time,yr,Surface Altitude,land,,,GRL,m,CMIP6 CMOR variable,,,,,,,,,,
Variable land.sftgif.tavg-u-hxy-u.yr.ATA (IyrAnt.sftgif),1184,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1184,yr land CMIP6,sftgif_tavg-u-hxy-u,land_ice_area_fraction,"""comment"" was ""Percentage of grid cell covered by land ice (ice sheet, ice shelf, ice cap, glacier)"";",area: areacellg,area: time: mean,This is needed in case the ice sheet area changes in time,xant yant time,yr,Land Ice Area Percentage,land,,,ATA,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.orog.tavg-u-hxy-is.yr.ATA (IyrAnt.orog),1182,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1182,yr land CMIP6,orog_tavg-u-hxy-is,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacellg,area: time: mean where ice_sheet,This is needed in case the ice sheet elevation changes in time,xant yant time,yr,Surface Altitude,land,,,ATA,m,CMIP6 CMOR variable,,,,,,,,,,
Variable land.orog.tavg-u-hxy-is.mon.GRL (ImonGre.orog),1152,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1152,mon land CMIP6,orog_tavg-u-hxy-is,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacellg,area: time: mean where ice_sheet,"The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.",xgre ygre time,mon,Surface Altitude,land,,,GRL,m,CMIP6 CMOR variable,,,,,,,,,,
Variable land.orog.tavg-u-hxy-is.mon.ATA (ImonAnt.orog),1125,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1125,mon land CMIP6,orog_tavg-u-hxy-is,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacellg,area: time: mean where ice_sheet,"The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.",xant yant time,mon,Surface Altitude,land,,,ATA,m,CMIP6 CMOR variable,,,,,,,,,,
Variable land.areacell.ti-u-hxy-u.fx.GRL (IfxGre.areacellg),1109,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1109,fx land CMIP6,areacell_ti-u-hxy-u,cell_area,"""comment"" was ""Area of the target grid (not the interpolated area of the source grid)."";",,area: sum,"Cell areas any grid used to report ice sheet variables. These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)",longitude latitude,fx,Grid-Cell Area for Ice Sheet Variables,land,,,GRL,m2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.areacell.ti-u-hxy-u.fx.ATA (IfxAnt.areacellg),1105,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1105,fx land CMIP6,areacell_ti-u-hxy-u,cell_area,"""comment"" was ""Area of the target grid (not the interpolated area of the source grid)."";",,area: sum,"Cell areas any grid used to report ice sheet variables. These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)",longitude latitude,fx,Grid-Cell Area for Ice Sheet Variables,land,,,ATA,m2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.vegFrac.tavg-u-hxy-u.yr.GLB (Eyr.vegFrac),1103,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1103,yr land CMIP6 HadGEM3-GC31,vegFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"Percentage of grid cell that is covered by vegetation.This SHOULD be the sum of tree, grass (natural and pasture), crop and shrub fractions.",longitude latitude time typeveg,yr,Total Vegetated Percentage Cover,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,"land_class_area(m01s03i317[lbproc=128], m01s03i395[lbproc=128], land_class='natural')",,,,,,,-,,
Variable land.treeFrac.tavg-u-hxy-u.yr.GLB (Eyr.treeFrac),1102,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1102,yr land CMIP6,treeFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,Percentage of entire grid cell that is covered by trees.,longitude latitude time typetree,yr,Tree Cover Percentage,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.shrubFrac.tavg-u-hxy-u.yr.GLB (Eyr.shrubFrac),1101,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1101,yr land CMIP6,shrubFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,Percentage of entire grid cell that is covered by shrub.,longitude latitude time typeshrub,yr,Percentage Cover by Shrub,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.residualFrac.tavg-u-hxy-u.yr.GLB (Eyr.residualFrac),1100,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1100,yr land CMIP6,residualFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"Percentage of entire grid cell that is land and is covered by neither vegetation nor bare-soil (e.g., urban, ice, lakes, etc.)",longitude latitude time typeresidual,yr,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.grassFrac.tavg-u-hxy-u.yr.GLB (Eyr.grassFrac),1099,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1099,yr land CMIP6,grassFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,Percentage of entire grid cell that is covered by natural grass.,longitude latitude time typenatgr,yr,Natural Grass Area Percentage,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.fracOutLut.tsum-u-hxy-lnd.yr.GLB (Eyr.fracOutLut),1098,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1098,yr land CMIP6,fracOutLut_tsum-u-hxy-lnd,area_fraction,"""long_name"" was ""Annual gross percentage of Land-use tile that was transferred into other Land-use tiles"";",area: areacella,area: mean where land over all_area_types time: sum,Cumulative percentage transitions over the year; note that percentage should be reported as percentage of atmospheric grid cell,longitude latitude landuse time,yr,Annual Gross Percentage of Land-Use Tile That Was Transferred into Other Land-Use Tiles,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.fracLut.tpt-u-hxy-u.yr.GLB (Eyr.fracLut),1097,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1097,yr land CMIP6,fracLut_tpt-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: point""; ; ""comment"" was ""End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5*0.2 = 0.1)""; ; ""frequency"" was ""yrPt"";",area: areacella,area: mean time: point,"End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5\*0.2 = 0.1)",longitude latitude landuse time1,yr,Percentage of Grid Cell for Each Land-Use Tile,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: point CMIP7:area: mean time: point, CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.fracInLut.tsum-u-hxy-lnd.yr.GLB (Eyr.fracInLut),1096,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1096,yr land CMIP6,fracInLut_tsum-u-hxy-lnd,area_fraction,,area: areacella,area: mean where land over all_area_types time: sum,Cumulative percentage transitions over the year; note that percentage should be reported as a percentage of atmospheric grid cell,longitude latitude landuse time,yr,Annual Gross Percentage That Was Transferred into This Tile from Other Land-Use Tiles,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.cropFrac.tavg-u-hxy-u.yr.GLB (Eyr.cropFrac),1095,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1095,yr land CMIP6,cropFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,Percentage of entire grid cell that is covered by crop.,longitude latitude time typecrop,yr,Percentage Crop Cover,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.cVegLut.tpt-u-hxy-multi.yr.GLB (Eyr.cVegLut),1094,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1094,yr land CMIP6,cVegLut_tpt-u-hxy-multi,vegetation_carbon_content,"""frequency"" was ""yrPt"";",area: areacella,area: mean where sector time: point,end of year values (not annual mean),longitude latitude landuse time1,yr,Carbon in Vegetation on Land-Use Tiles,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.cSoilLut.tpt-u-hxy-multi.yr.GLB (Eyr.cSoilLut),1093,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1093,yr land CMIP6,cSoilLut_tpt-u-hxy-multi,soil_mass_content_of_carbon,"""long_name"" was ""carbon in soil pool on Land-use tiles""; ; ""frequency"" was ""yrPt"";",area: areacella,area: mean where sector time: point,end of year values (not annual mean),longitude latitude landuse time1,yr,Carbon in Soil Pool on Land-Use Tiles,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.cProductLut.tpt-u-hxy-multi.yr.GLB (Eyr.cProductLut),1092,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1092,yr land CMIP6,cProductLut_tpt-u-hxy-multi,carbon_mass_content_of_forestry_and_agricultural_products,"""frequency"" was ""yrPt"";",area: areacella,area: mean where sector time: point,"Anthropogenic pools associated with land use tiles into which harvests and cleared carbon are deposited before release into atmosphere PLUS any remaining anthropogenic pools that may be associated with lands which were converted into land use tiles during reported period. Examples of products include paper, cardboard, timber for construction, and crop harvest for food or fuel. Does NOT include residue which is deposited into soil or litter; end of year values (not annual mean).",longitude latitude landuse time1,yr,Wood and Agricultural Product Pool Carbon Associated with Land-Use Tiles,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.cLitterLut.tpt-u-hxy-multi.yr.GLB (Eyr.cLitterLut),1091,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1091,yr land CMIP6,cLitterLut_tpt-u-hxy-multi,litter_mass_content_of_carbon,"""frequency"" was ""yrPt"";",area: areacella,area: mean where sector time: point,end of year values (not annual mean),longitude latitude landuse time1,yr,Carbon in Above and Below-Ground Litter Pools on Land-Use Tiles,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time1 CMIP7:longitude latitude landuse time1,",GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.baresoilFrac.tavg-u-hxy-u.yr.GLB (Eyr.baresoilFrac),1090,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1090,yr land CMIP6,baresoilFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,Percentage of entire grid cell that is covered by bare soil.,longitude latitude time typebare,yr,Bare Soil Percentage Area Coverage,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.wetlandFrac.tavg-u-hxy-u.mon.GLB (Emon.wetlandFrac),1058,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1058,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,wetlandFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"Percentage of grid cell covered by wetland. Report only one year if fixed percentage is used, or time series if values are determined dynamically.",longitude latitude time typewetla,mon,Wetland Percentage Cover,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,m01s08i248[lbproc=128] * m01s03i395[lbproc=128],m01s08i248[lbproc=128] * m01s03i395[lbproc=128],,m01s08i248[lbproc=128] * m01s03i395[lbproc=128],m01s08i248[lbproc=128] * m01s03i395[lbproc=128],,,1,,
Variable land.wetlandCH4prod.tavg-u-hxy-lnd.mon.GLB (Emon.wetlandCH4prod),1057,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1057,mon land CMIP6,wetlandCH4prod_tavg-u-hxy-lnd,surface_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_production,"""comment"" was ""Biological emissions (methanogenesis) of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season). "";",area: areacella,area: mean where land time: mean,"Biological emissions (methanogenesis) of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season).",longitude latitude time,mon,Grid Averaged Methane Production (Methanogenesis) from Wetlands,land,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.wetlandCH4cons.tavg-u-hxy-lnd.mon.GLB (Emon.wetlandCH4cons),1056,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1056,mon land CMIP6,wetlandCH4cons_tavg-u-hxy-lnd,surface_downward_mass_flux_of_methane_due_to_wetland_biological_consumption,"""comment"" was ""Biological consumption (methanotrophy) of methane (NH4) by wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season). "";",area: areacella,area: mean where land time: mean,"Biological consumption (methanotrophy) of methane (NH4) by wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season).",longitude latitude time,mon,Grid Averaged Methane Consumption (Methanotrophy) from Wetlands,land,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.wetlandCH4.tavg-u-hxy-lnd.mon.GLB (Emon.wetlandCH4),1055,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1055,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,wetlandCH4_tavg-u-hxy-lnd,surface_net_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_processes,"""comment"" was ""Net upward flux of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season). "";",area: areacella,area: mean where land time: mean,"Net upward flux of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season).",longitude latitude time,mon,Grid Averaged Methane Emissions from Wetlands,land,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,m01s08i242[lbproc=128] * MOLECULAR_MASS_OF_CH4 / ATOMIC_MASS_OF_C,m01s08i242[lbproc=128] * MOLECULAR_MASS_OF_CH4 / ATOMIC_MASS_OF_C,,m01s08i242[lbproc=128] * MOLECULAR_MASS_OF_CH4 / ATOMIC_MASS_OF_C,m01s08i242[lbproc=128] * MOLECULAR_MASS_OF_CH4 / ATOMIC_MASS_OF_C,,,ug m-2 s-1,,
Variable land.vegHeight.tavg-u-hxy-tree.mon.GLB (Emon.vegHeightTree),1052,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1052,mon land CMIP6 UKESM1 approved,vegHeight_tavg-u-hxy-tree,canopy_height,"""cell_methods"" was ""area: time: mean where trees (comment: mask=treeFrac)"";",area: areacella,area: time: mean where trees (mask=treeFrac),Vegetation height averaged over the tree fraction of a grid cell.,longitude latitude time,mon,Height of Trees,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where trees (comment: mask=treeFrac) CMIP7:area: time: mean where trees (mask=treeFrac),",GLB,m,CMIP6 CMOR variable,,,,"land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='tree')","land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='tree')",,,m,,
Variable land.vegHeight.tavg-u-hxy-shb.mon.GLB (Emon.vegHeightShrub),1051,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1051,mon land CMIP6 UKESM1 approved,vegHeight_tavg-u-hxy-shb,canopy_height,"""cell_methods"" was ""area: time: mean where shrubs (comment: mask=shrubFrac)"";",area: areacella,area: time: mean where shrubs (mask=shrubFrac),Vegetation height averaged over the shrub fraction of a grid cell.,longitude latitude time,mon,Height of Shrubs,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where shrubs (comment: mask=shrubFrac) CMIP7:area: time: mean where shrubs (mask=shrubFrac),",GLB,m,CMIP6 CMOR variable,,,,"land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='shrub')","land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='shrub')",,,m,,
Variable land.vegHeight.tavg-u-hxy-ng.mon.GLB (Emon.vegHeightGrass),1050,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1050,mon land CMIP6 UKESM1 approved,vegHeight_tavg-u-hxy-ng,canopy_height,"""cell_methods"" was ""area: time: mean where natural_grasses (comment: mask=grassFrac)"";",area: areacella,area: time: mean where natural_grasses (mask=grassFrac),Vegetation height averaged over the grass fraction of a grid cell.,longitude latitude time,mon,Height of Grass,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where natural_grasses (comment: mask=grassFrac) CMIP7:area: time: mean where natural_grasses (mask=grassFrac),",GLB,m,CMIP6 CMOR variable,,,,"land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='grass')","land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='grass')",,,m,,
Variable land.vegHeight.tavg-u-hxy-veg.mon.GLB (Emon.vegHeight),1049,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1049,mon land CMIP6 UKESM1 approved,vegHeight_tavg-u-hxy-veg,canopy_height,"""cell_methods"" was ""area: time: mean where vegetation (comment: mask=vegFrac)"";",area: areacella,area: time: mean where vegetation (mask=vegFrac),Vegetation height averaged over all vegetation types and over the vegetated fraction of a grid cell.,longitude latitude time,mon,Height of the Vegetation Canopy,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where vegetation (comment: mask=vegFrac) CMIP7:area: time: mean where vegetation (mask=vegFrac),",GLB,m,CMIP6 CMOR variable,,,,"land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')","land_class_mean(m01s19i015[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')",,,m,,
Variable land.vegFrac.tavg-u-hxy-u.mon.GLB (Emon.vegFrac),1048,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1048,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,vegFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"Percentage of grid cell that is covered by vegetation.This SHOULD be the sum of tree, grass (natural and pasture), crop and shrub fractions.",longitude latitude time typeveg,mon,Total Vegetated Percentage Cover,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='veg')",,,%,,
Variable land.tsLut.tavg-u-hxy-multi.mon.GLB (Emon.tslsiLut),1043,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1043,mon land CMIP6 UKESM1 approved,tsLut_tavg-u-hxy-multi,surface_temperature,,area: areacella,area: time: mean where sector,Surface temperature (i.e. temperature at which long-wave radiation emitted),longitude latitude landuse time,mon,Surface Temperature on Landuse Tile,land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,K,CMIP6 CMOR variable,,,,"land_use_tile_mean(m01s03i316[lbproc=128],m01s19i013[lbtim_ia=240,lbproc=128])","land_use_tile_mean(m01s03i316[lbproc=128],m01s19i013[lbtim_ia=240,lbproc=128])",,,K,,
Variable land.treeFracNdlEvg.tavg-u-hxy-u.mon.GLB (Emon.treeFracNdlEvg),1042,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1042,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,treeFracNdlEvg_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,This is the percentage of the entire grid cell that is covered by needleleaf evergreen trees.,longitude latitude time typetreene,mon,Needleleaf Evergreen Tree Area Percentage,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='needleLeafTreeEvergreen')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='needleLeafTreeEvergreen')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='needleLeafTreeEvergreen')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='needleLeafTreeEvergreen')",,,%,,
Variable land.treeFracNdlDcd.tavg-u-hxy-u.mon.GLB (Emon.treeFracNdlDcd),1041,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1041,mon land CMIP6 UKESM1 approved,treeFracNdlDcd_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,This is the percentage of the entire grid cell that is covered by needleleaf deciduous trees.,longitude latitude time typetreend,mon,Needleleaf Deciduous Tree Area Percentage,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='needleLeafTreeDeciduous')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='needleLeafTreeDeciduous')",,,%,,
Variable land.treeFracBdlEvg.tavg-u-hxy-u.mon.GLB (Emon.treeFracBdlEvg),1040,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1040,mon land CMIP6 UKESM1 approved,treeFracBdlEvg_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,This is the percentage of the entire grid cell that is covered by broadleaf evergreen trees.,longitude latitude time typetreebe,mon,Broadleaf Evergreen Tree Area Percentage,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='broadLeafTreeEvergreen')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='broadLeafTreeEvergreen')",,,%,,
