title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM-GC3.1,Expression HadGEM-GC5,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable aerosol.cly.tavg-p39-hy-air.mon.GLB (AERmonZ.cly),433,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/433,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,cly_tavg-p39-hy-air,mole_fraction_of_inorganic_chlorine_in_air,"""cell_methods"" was ""longitude: mean time: mean""; ; ""comment"" was ""Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Cly = HCl + ClONO2 + HOCl + ClO + Cl + 2*Cl2O2 +2Cl2 + OClO + BrCl Definition: Total inorganic stratospheric chlorine (e.g., HCl, ClO) resulting from degradation of chlorine-containing source gases (CFCs, HCFCs, VSLS), and natural inorganic chlorine sources (e.g., sea salt and other aerosols) add comment attribute with detailed description about how the model calculates these fields"";",,longitude: time: mean where air,"Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Cly = HCl + ClONO2 + HOCl + ClO + Cl + 2\*Cl2O2 +2Cl2 + OClO + BrCl Definition: Total inorganic stratospheric chlorine (e.g., HCl, ClO) resulting from degradation of chlorine-containing source gases (CFCs, HCFCs, VSLS), and natural inorganic chlorine sources (e.g., sea salt and other aerosols) add comment attribute with detailed description about how the model calculates these fields",latitude plev39 time,mon,Total Inorganic Chlorine Volume Mixing Ratio,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,,,"MOLECULAR_MASS_OF_AIR * ((m01s51i041[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CHLORINE) + (m01s51i042[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLOX) + (2 * m01s51i043[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CL2O2) + (m01s51i044[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_OCLO) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i051[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOCL) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i992[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HCL)) / m01s51i999[blev=PLEV39, lbproc=192]","MOLECULAR_MASS_OF_AIR * ((m01s51i041[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CHLORINE) + (m01s51i042[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLOX) + (2 * m01s51i043[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CL2O2) + (m01s51i044[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_OCLO) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i051[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOCL) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i992[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HCL)) / m01s51i999[blev=PLEV39, lbproc=192]",,"MOLECULAR_MASS_OF_AIR * ((m01s51i041[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CHLORINE) + (m01s51i042[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLOX) + (2 * m01s51i043[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CL2O2) + (m01s51i044[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_OCLO) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i051[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOCL) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i992[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HCL)) / m01s51i999[blev=PLEV39, lbproc=192]","MOLECULAR_MASS_OF_AIR * ((m01s51i041[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CHLORINE) + (m01s51i042[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLOX) + (2 * m01s51i043[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CL2O2) + (m01s51i044[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_OCLO) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i051[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOCL) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i992[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HCL)) / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable aerosol.bry.tavg-p39-hy-air.mon.GLB (AERmonZ.bry),431,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/431,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,bry_tavg-p39-hy-air,mole_fraction_of_inorganic_bromine_in_air,"""cell_methods"" was ""longitude: mean time: mean""; ; ""comment"" was ""Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Bry = Br + BrO + HOBr + HBr + BrONO2 + BrCl Definition: Total inorganic bromine (e.g., HBr and inorganic bromine oxides and radicals (e.g., BrO, atomic bromine (Br), bromine nitrate (BrONO2)) resulting from degradation of bromine-containing organic source gases (halons, methyl bromide, VSLS), and natural inorganic bromine sources (e.g., volcanoes, sea salt, and other aerosols) add comment attribute with detailed description about how the model calculates these fields"";",,longitude: time: mean where air,"Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Bry = Br + BrO + HOBr + HBr + BrONO2 + BrCl Definition: Total inorganic bromine (e.g., HBr and inorganic bromine oxides and radicals (e.g., BrO, atomic bromine (Br), bromine nitrate (BrONO2)) resulting from degradation of bromine-containing organicsource gases (halons, methyl bromide, VSLS), and natural inorganic bromine sources (e.g., volcanoes, sea salt, and other aerosols) add comment attribute with detailed description about how the model calculates these fields",latitude plev39 time,mon,Total Inorganic Bromine Volume Mixing Ratio,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,,,"MOLECULAR_MASS_OF_AIR * ((m01s51i045[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BROMINE) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i052[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HBR) + (m01s51i053[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOBR) + (m01s51i994[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRO)) / m01s51i999[blev=PLEV39, lbproc=192]","MOLECULAR_MASS_OF_AIR * ((m01s51i045[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BROMINE) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i052[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HBR) + (m01s51i053[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOBR) + (m01s51i994[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRO)) / m01s51i999[blev=PLEV39, lbproc=192]",,"MOLECULAR_MASS_OF_AIR * ((m01s51i045[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BROMINE) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i052[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HBR) + (m01s51i053[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOBR) + (m01s51i994[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRO)) / m01s51i999[blev=PLEV39, lbproc=192]","MOLECULAR_MASS_OF_AIR * ((m01s51i045[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BROMINE) + (m01s51i047[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRCL) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i052[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HBR) + (m01s51i053[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HOBR) + (m01s51i994[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRO)) / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable aerosol.wetss.tavg-u-hxy-u.mon.GLB (AERmon.wetss),428,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/428,mon aerosol CMIP6 UKESM1 approved,wetss_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_wet_deposition,,area: areacella,area: time: mean,Deposition rate of sea salt aerosols (measured by the dry mass) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of Sea-Salt Aerosol,aerosol,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,"achem_emdrywet(MOLECULAR_MASS_OF_NACL, m01s38i241[lbproc=128] + m01s38i242[lbproc=128] + m01s38i265[lbproc=128] + m01s38i266[lbproc=128], cube2d=(m01s38i914[lbproc=128] + m01s38i923[lbproc=128]), sumlev='True', areadiv='True')","achem_emdrywet(MOLECULAR_MASS_OF_NACL, m01s38i241[lbproc=128] + m01s38i242[lbproc=128] + m01s38i265[lbproc=128] + m01s38i266[lbproc=128], cube2d=(m01s38i914[lbproc=128] + m01s38i923[lbproc=128]), sumlev='True', areadiv='True')",,g m-2 s-1
Variable aerosol.wetso4.tavg-u-hxy-u.mon.GLB (AERmon.wetso4),427,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/427,mon aerosol CMIP6 UKESM1 approved,wetso4_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_wet_deposition,"""comment"" was ""Deposition rate of sulfate aerosols (measured by the dry mass) due to wet processes"";",area: areacella,area: time: mean,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,longitude latitude time,mon,Wet Deposition Rate of SO4,aerosol,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,"achem_emdrywet(MOLECULAR_MASS_OF_SO4, m01s38i238[lbproc=128] + m01s38i239[lbproc=128] + m01s38i240[lbproc=128] + m01s38i261[lbproc=128] + m01s38i262[lbproc=128] + m01s38i263[lbproc=128] + m01s38i264[lbproc=128], cube2d=(m01s38i905[lbproc=128] + m01s38i911[lbproc=128] + m01s38i920[lbproc=128]), sumlev='True', areadiv='True')","achem_emdrywet(MOLECULAR_MASS_OF_SO4, m01s38i238[lbproc=128] + m01s38i239[lbproc=128] + m01s38i240[lbproc=128] + m01s38i261[lbproc=128] + m01s38i262[lbproc=128] + m01s38i263[lbproc=128] + m01s38i264[lbproc=128], cube2d=(m01s38i905[lbproc=128] + m01s38i911[lbproc=128] + m01s38i920[lbproc=128]), sumlev='True', areadiv='True')",,g m-2 s-1
Variable aerosol.wetso2.tavg-u-hxy-u.mon.GLB (AERmon.wetso2),426,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/426,mon aerosol CMIP6 UKESM1 approved,wetso2_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,,area: areacella,area: time: mean,Deposition rate of sulfur dioxide due to wet processes,longitude latitude time,mon,Wet Deposition Rate of SO2,aerosol,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,"achem_emdrywet(MOLECULAR_MASS_OF_SO2, m01s50i155[lbproc=128], sumlev='True', areadiv='True')","achem_emdrywet(MOLECULAR_MASS_OF_SO2, m01s50i155[lbproc=128], sumlev='True', areadiv='True')",,g m-2 s-1
Variable aerosol.wetoa.tavg-u-hxy-u.mon.GLB (AERmon.wetoa),425,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/425,mon aerosol CMIP6 UKESM1 approved,wetoa_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_wet_deposition,,area: areacella,area: time: mean,Deposition rate of organic matter in aerosols (measured by the dry mass) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of Dry Aerosol Total Organic Matter,aerosol,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,"achem_emdrywet(ATOMIC_MASS_OF_C * CONV_C_ORGM, m01s38i248[lbproc=128] + m01s38i249[lbproc=128] + m01s38i250[lbproc=128] + m01s38i251[lbproc=128] + m01s38i271[lbproc=128] + m01s38i272[lbproc=128] + m01s38i273[lbproc=128] + m01s38i274[lbproc=128] + m01s38i275[lbproc=128], cube2d=(m01s38i907[lbproc=128] + m01s38i913[lbproc=128] + m01s38i922[lbproc=128]), sumlev='True', areadiv='True')","achem_emdrywet(ATOMIC_MASS_OF_C * CONV_C_ORGM, m01s38i248[lbproc=128] + m01s38i249[lbproc=128] + m01s38i250[lbproc=128] + m01s38i251[lbproc=128] + m01s38i271[lbproc=128] + m01s38i272[lbproc=128] + m01s38i273[lbproc=128] + m01s38i274[lbproc=128] + m01s38i275[lbproc=128], cube2d=(m01s38i907[lbproc=128] + m01s38i913[lbproc=128] + m01s38i922[lbproc=128]), sumlev='True', areadiv='True')",,g m-2 s-1
Variable aerosol.wetdust.tavg-u-hxy-u.mon.GLB (AERmon.wetdust),419,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/419,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,wetdust_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition,,area: areacella,area: time: mean,Surface deposition rate of dust (dry mass) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of Dust,aerosol,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,m01s04i231[lbproc=128] + m01s04i232[lbproc=128] + m01s04i233[lbproc=128] + m01s04i234[lbproc=128] + m01s04i235[lbproc=128] + m01s04i236[lbproc=128] + m01s05i281[lbproc=128] + m01s05i282[lbproc=128] + m01s05i283[lbproc=128] + m01s05i284[lbproc=128] + m01s05i285[lbproc=128] + m01s05i286[lbproc=128],m01s04i231[lbproc=128] + m01s04i232[lbproc=128] + m01s04i233[lbproc=128] + m01s04i234[lbproc=128] + m01s04i235[lbproc=128] + m01s04i236[lbproc=128] + m01s05i281[lbproc=128] + m01s05i282[lbproc=128] + m01s05i283[lbproc=128] + m01s05i284[lbproc=128] + m01s05i285[lbproc=128] + m01s05i286[lbproc=128],,m01s04i231[lbproc=128] + m01s04i232[lbproc=128] + m01s04i233[lbproc=128] + m01s04i234[lbproc=128] + m01s04i235[lbproc=128] + m01s04i236[lbproc=128] + m01s05i281[lbproc=128] + m01s05i282[lbproc=128] + m01s05i283[lbproc=128] + m01s05i284[lbproc=128] + m01s05i285[lbproc=128] + m01s05i286[lbproc=128],m01s04i231[lbproc=128] + m01s04i232[lbproc=128] + m01s04i233[lbproc=128] + m01s04i234[lbproc=128] + m01s04i235[lbproc=128] + m01s04i236[lbproc=128] + m01s05i281[lbproc=128] + m01s05i282[lbproc=128] + m01s05i283[lbproc=128] + m01s05i284[lbproc=128] + m01s05i285[lbproc=128] + m01s05i286[lbproc=128],,kg m-2 s-1
Variable aerosol.wetbc.tavg-u-hxy-u.mon.GLB (AERmon.wetbc),418,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/418,mon aerosol CMIP6 UKESM1 approved,wetbc_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_wet_deposition,,area: areacella,area: time: mean,Surface deposition rate of black carbon (dry mass) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of Black Carbon Aerosol Mass,aerosol,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,"achem_emdrywet(ATOMIC_MASS_OF_C, m01s38i243[lbproc=128] + m01s38i244[lbproc=128] + m01s38i245[lbproc=128] + m01s38i246[lbproc=128] + m01s38i267[lbproc=128] + m01s38i268[lbproc=128] + m01s38i269[lbproc=128] + m01s38i270[lbproc=128], cube2d=(m01s38i906[lbproc=128] + m01s38i912[lbproc=128] + m01s38i921[lbproc=128]), sumlev='True', areadiv='True')","achem_emdrywet(ATOMIC_MASS_OF_C, m01s38i243[lbproc=128] + m01s38i244[lbproc=128] + m01s38i245[lbproc=128] + m01s38i246[lbproc=128] + m01s38i267[lbproc=128] + m01s38i268[lbproc=128] + m01s38i269[lbproc=128] + m01s38i270[lbproc=128], cube2d=(m01s38i906[lbproc=128] + m01s38i912[lbproc=128] + m01s38i921[lbproc=128]), sumlev='True', areadiv='True')",,g m-2 s-1
Variable aerosol.wa.tavg-al-hxy-u.mon.GLB (AERmon.wa),417,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/417,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,wa_tavg-al-hxy-u,upward_air_velocity,"""comment"" was ""A velocity is a vector quantity. 'Upward' indicates a vector component which is positive when directed upward (negative downward). Upward air velocity is the vertical component of the 3D air velocity vector. The standard name downward_air_velocity may be used for a vector component with the opposite sign convention."";",area: areacella,area: time: mean,"A velocity is a vector quantity. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). Upward air velocity is the vertical component of the 3D air velocity vector. The standard name downward_air_velocity may be used for a vector component with the opposite sign convention.",longitude latitude alevel time,mon,Upward Air Velocity,aerosol,,,GLB,m s-1,CMIP6 CMOR variable,,,m01s00i150[lbproc=128],m01s00i150[lbproc=128],,m01s00i150[lbproc=128],m01s00i150[lbproc=128],,m s-1
Variable aerosol.ttop.tavg-u-hxy-cl.mon.GLB (AERmon.ttop),414,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/414,mon aerosol atmos CMIP6 do-not-produce,ttop_tavg-u-hxy-cl,air_temperature_at_cloud_top,,area: areacella,area: time: mean where cloud,"cloud_top refers to the top of the highest cloud. Air temperature is the bulk temperature of the air, not the surface (skin) temperature.",longitude latitude time,mon,Air Temperature at Cloud Top,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where cloud,",GLB,K,CMIP6 CMOR variable,,,,,,,,,
Variable aerosol.tropoz.tavg-u-hxy-u.mon.GLB (AERmon.tropoz),413,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/413,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,tropoz_tavg-u-hxy-u,equivalent_thickness_at_stp_of_atmosphere_ozone_content,"""comment"" was ""Tropospheric ozone column, should be consistent with definition of tropopause used to calculate the pressure of the tropopause (ptp). Calculated at 0 degrees C and 1 bar, such that 1m = 1e5 DU."";",area: areacella,area: time: mean,"Tropospheric ozone column, should be consistent with definition of tropopause used to calculate the pressure of the tropopause (ptp).",longitude latitude time,mon,Tropospheric Ozone Column,aerosol,,,GLB,m,CMIP6 CMOR variable,,,trop_o3col(m01s34i001[lbproc=128] * m01s50i063[lbproc=128] * m01s50i062[lbproc=128]),trop_o3col(m01s34i001[lbproc=128] * m01s50i063[lbproc=128] * m01s50i062[lbproc=128]),,trop_o3col(m01s34i001[lbproc=128] * m01s50i063[lbproc=128] * m01s50i062[lbproc=128]),trop_o3col(m01s34i001[lbproc=128] * m01s50i063[lbproc=128] * m01s50i062[lbproc=128]),,1.0e-5 m
Variable aerosol.toz.tavg-u-hxy-u.mon.GLB (AERmon.toz),408,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/408,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,toz_tavg-u-hxy-u,equivalent_thickness_at_stp_of_atmosphere_ozone_content,"""comment"" was ""Total ozone column calculated at 0 degrees C and 1 bar, such that 1m = 1e5 DU."";",area: areacella,area: time: mean,total ozone column in DU,longitude latitude time,mon,Total Column Ozone,aerosol,,,GLB,m,CMIP6 CMOR variable,,,"m01s50i219[lblev=1, lbproc=128]","m01s50i219[lblev=1, lbproc=128]",,"m01s50i219[lblev=1, lbproc=128]","m01s50i219[lblev=1, lbproc=128]",,1e-5 m
Variable aerosol.tatp.tavg-u-hxy-u.mon.GLB (AERmon.tatp),405,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/405,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,tatp_tavg-u-hxy-u,tropopause_air_temperature,,area: areacella,area: time: mean,2D monthly mean thermal tropopause calculated using WMO tropopause definition on 3d temperature,longitude latitude time,mon,Tropopause Air Temperature,aerosol,,,GLB,K,CMIP6 CMOR variable,,,m01s30i452[lbproc=128],m01s30i452[lbproc=128],,m01s30i452[lbproc=128],m01s30i452[lbproc=128],,K
Variable aerosol.so2.tavg-al-hxy-u.mon.GLB (AERmon.so2),403,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/403,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,so2_tavg-al-hxy-u,mole_fraction_of_sulfur_dioxide_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,SO2 Volume Mixing Ratio,aerosol,,,GLB,mol mol-1,CMIP6 CMOR variable,,,m01s34i072[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2),m01s34i072[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2),,m01s34i072[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2),m01s34i072[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2),,mol mol-1
Variable aerosol.rsutcsaf.tavg-u-hxy-u.mon.GLB (AERmon.rsutcsaf),399,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/399,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,rsutcsaf_tavg-u-hxy-u,toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,"""comment"" was ""Flux corresponding to rsutcs resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rsutcs resulting fom aerosol-free call to radiation,longitude latitude time,mon,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",aerosol,up,,GLB,W m-2,CMIP6 CMOR variable,,,"m01s01i519[lblev=86, lbproc=128]","m01s01i519[lblev=86, lbproc=128]",,"m01s01i519[lblev=86, lbproc=128]","m01s01i519[lblev=86, lbproc=128]",,W m-2
Variable aerosol.rsutaf.tavg-u-hxy-u.mon.GLB (AERmon.rsutaf),397,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/397,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,rsutaf_tavg-u-hxy-u,toa_outgoing_shortwave_flux,"""comment"" was ""Flux corresponding to rsut resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rsut resulting fom aerosol-free call to radiation,longitude latitude time,mon,TOA Outgoing Aerosol-Free Shortwave Radiation,aerosol,up,,GLB,W m-2,CMIP6 CMOR variable,,,"m01s01i517[lblev=86, lbproc=128]","m01s01i517[lblev=86, lbproc=128]",,"m01s01i517[lblev=86, lbproc=128]","m01s01i517[lblev=86, lbproc=128]",,W m-2
Variable aerosol.rlutcsaf.tavg-u-hxy-u.mon.GLB (AERmon.rlutcsaf),393,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/393,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,rlutcsaf_tavg-u-hxy-u,toa_outgoing_longwave_flux_assuming_clear_sky,"""comment"" was ""Flux corresponding to rlutcs resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rlutcs resulting fom aerosol-free call to radiation,longitude latitude time,mon,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation",aerosol,up,,GLB,W m-2,CMIP6 CMOR variable,,,"remove_altitude_coords(m01s02i519[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i519[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]",,"remove_altitude_coords(m01s02i519[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i519[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]",,W m-2
Variable aerosol.rlutaf.tavg-u-hxy-u.mon.GLB (AERmon.rlutaf),391,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/391,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,rlutaf_tavg-u-hxy-u,toa_outgoing_longwave_flux,"""comment"" was ""Flux corresponding to rlut resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rlut resulting fom aerosol-free call to radiation,longitude latitude time,mon,TOA Outgoing Aerosol-Free Longwave Radiation,aerosol,up,,GLB,W m-2,CMIP6 CMOR variable,,,"remove_altitude_coords(m01s02i517[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i517[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]",,"remove_altitude_coords(m01s02i517[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i517[lblev=86, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]",,W m-2
Variable aerosol.rluscsaf.tavg-u-hxy-u.mon.GLB (AERmon.rluscsaf),390,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/390,mon aerosol approved,rluscsaf_tavg-u-hxy-u,surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,Not present,area: areacella,area: time: mean,Flux corresponding to rluscs resulting from an aerosol-free call to radiation,longitude latitude time,mon,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",aerosol,up,,GLB,W m-2,New,,,"remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]",,"remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]","remove_altitude_coords(m01s02i519[lblev=1, lbproc=128]) + m01s03i332[lbproc=128] - m01s02i205[lbproc=128]",,W m-2
